,Mean C1,Mean C2,Mean C3,Mean C4
279,3.4021696256362493e-10,-2.6011954147087493e-09,4.963833333333335e-13,4.96436111111111e-13
280,1.097010351411805e-09,-7.057131215633474e-09,5.218124999999999e-13,5.218472222222222e-13
281,5.614709274430833e-10,-1.7394838156756943e-09,5.506777777777778e-13,5.507472222222223e-13
282,4.130468726155139e-10,-1.6972172487174995e-10,5.799583333333333e-13,5.799374999999998e-13
283,7.059714288306526e-10,8.01369378360458e-09,6.126124999999998e-13,6.126805555555555e-13
284,-8.370067606940277e-09,3.5826881990290276e-10,6.460555555555555e-13,6.461000000000001e-13
285,2.0656220772404158e-09,1.7034529313208335e-09,6.831180555555557e-13,6.830833333333332e-13
286,3.0685803352430556e-09,8.91797859353764e-10,7.214847222222222e-13,7.214013888888888e-13
287,4.560762808985973e-09,1.4094050222418054e-09,7.634791666666666e-13,7.634999999999999e-13
288,-1.1820736952904163e-09,-6.671073279230139e-09,8.071291666666668e-13,8.071041666666667e-13
289,1.3578852250552779e-09,2.71837051197514e-09,8.550680555555554e-13,8.551236111111111e-13
290,-9.482384692195e-10,4.542697631340692e-09,9.046152777777778e-13,9.046763888888887e-13
291,-7.233613039824031e-09,-6.041646227303888e-10,9.57956944444445e-13,9.579180555555555e-13
292,-2.790211118896666e-09,-1.868738603167361e-09,1.0133611111111113e-12,1.0133222222222221e-12
293,3.2264091243883334e-09,3.882657426720695e-09,1.0035277777777777e-12,1.0038347222222224e-12
294,7.656909374726803e-09,-2.0449117033119443e-10,1.054711111111111e-12,1.0552694444444447e-12
295,1.74808307613e-07,-6.693655066461947e-07,6.797736111111113e-13,6.770888888888888e-13
296,-2.6716581176965265e-07,-5.364964124425971e-07,7.269694444444446e-13,7.286444444444445e-13
297,1.647435840043889e-09,1.792631731375001e-08,4.712708333333334e-13,4.694708333333331e-13
298,-2.5698856718248607e-08,8.92044375451764e-08,3.6260416666666664e-13,3.63036111111111e-13
299,-1.631116060427639e-08,-5.4040353978690285e-08,3.705527777777777e-13,3.694902777777777e-13
300,-4.9286877127012485e-08,-5.0616642398500005e-08,2.7602222222222223e-13,2.7577916666666665e-13
301,3.74207189107403e-08,4.9588554557016666e-08,3.003819444444443e-13,2.997e-13
302,3.087587553449445e-08,7.588381051522914e-09,2.4522222222222215e-13,2.45075e-13
303,5.836885349426111e-08,6.722321480446389e-08,2.586333333333334e-13,2.5828888888888877e-13
304,2.930886886964584e-08,-1.6788775428709722e-08,2.300361111111112e-13,2.2993888888888885e-13
305,1.2242350470784726e-08,7.618172555440556e-09,2.3385416666666666e-13,2.336472222222222e-13
